"","race","age","engnat","gender","hand","source","country","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","N1","N2","N3","N4","N5","N6","N7","N8","N9","N10","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","O1","O2","O3","O4","O5","O6","O7","O8","O9","O10"
"1",4,16,2,1,1,1,"AE",1,2,4,4,5,4,1,4,5,5,5,1,5,5,4,5,5,5,5,5,5,5,4,5,2,5,1,5,5,5,4,4,5,4,4,5,5,5,4,5,1,1,3,5,1,5,5,1,4,2
"2",4,17,1,1,1,5,"AE",4,4,4,5,5,2,5,5,2,5,3,3,3,5,4,3,4,5,2,1,4,5,2,5,2,5,1,5,5,3,4,3,4,2,2,5,4,3,3,2,5,3,5,1,3,1,5,5,5,5
"3",13,15,2,2,1,1,"AE",1,5,3,3,1,4,1,3,1,2,4,2,5,3,2,3,2,2,1,2,5,2,1,5,1,5,5,3,5,2,4,1,3,2,2,3,2,2,2,2,3,2,4,4,1,3,2,1,1,2
"4",5,19,2,2,1,1,"AE",3,2,4,2,4,3,2,3,4,4,3,2,3,2,5,2,2,2,2,2,4,4,3,5,1,5,2,4,4,4,2,2,3,4,1,3,3,3,3,3,1,4,2,3,3,3,3,1,3,2
"5",3,53,1,2,1,1,"AE",1,2,1,3,5,2,2,5,1,5,3,3,4,4,2,3,2,1,1,1,1,4,1,5,1,5,1,5,5,4,3,4,5,1,3,3,5,1,5,5,4,3,4,1,3,1,3,1,5,4
"6",5,31,2,1,1,5,"AE",4,3,4,1,4,3,4,1,4,3,3,3,5,4,3,4,5,2,4,2,2,4,3,4,2,5,1,4,4,4,4,2,5,2,4,1,5,1,4,3,3,2,5,1,5,1,4,3,4,5
"7",5,32,2,2,1,1,"AE",3,4,3,3,2,5,2,4,2,5,2,5,3,4,2,2,3,2,2,2,1,2,2,5,3,4,4,2,4,4,4,1,5,3,4,1,5,1,5,5,2,2,2,4,3,4,3,1,3,3
"8",4,32,2,2,1,1,"AE",3,4,4,2,4,2,4,2,3,2,3,3,3,3,2,3,2,3,2,3,2,4,2,4,2,3,2,3,4,4,2,2,3,2,4,1,3,3,3,3,2,3,3,4,4,2,3,2,3,3
"9",13,33,2,2,1,1,"AE",3,4,4,4,2,4,4,4,5,5,5,5,4,2,2,4,4,4,4,4,3,5,1,4,2,5,2,4,5,5,4,5,4,2,4,5,3,3,5,3,4,2,4,4,3,2,5,3,3,3
"10",5,19,2,1,1,1,"AE",1,2,2,5,1,4,1,5,3,5,2,3,5,3,4,3,5,5,4,3,1,3,2,5,2,5,3,3,4,4,3,1,4,3,2,2,4,2,1,3,3,2,5,2,4,2,4,2,4,4
"11",5,20,2,1,1,1,"AE",2,4,4,5,3,4,2,1,5,5,5,4,4,4,5,5,5,5,5,4,4,3,4,4,4,5,3,3,4,3,4,4,4,3,4,4,3,2,1,5,4,3,5,4,4,2,5,3,4,4
"12",13,56,2,2,1,1,"AE",5,4,3,3,4,1,3,3,3,5,1,5,4,2,3,3,4,4,1,3,1,5,1,5,5,5,3,3,5,5,3,5,5,2,3,3,5,3,5,5,5,1,5,1,5,1,5,1,5,5
"13",5,15,2,2,1,1,"AE",2,1,5,2,5,2,4,4,4,2,4,4,4,3,2,5,3,2,3,5,5,5,2,3,3,5,2,5,4,5,3,2,3,4,1,5,2,5,1,3,4,2,3,3,3,3,4,2,3,3
"14",5,23,2,1,1,5,"AE",1,5,2,1,2,5,1,4,1,5,5,2,5,1,4,5,4,4,5,1,1,1,3,4,2,3,2,4,4,5,3,4,5,1,2,1,4,1,2,2,4,1,1,2,4,2,5,5,4,4
"15",13,32,2,2,1,2,"AE",4,3,5,4,4,3,4,1,4,2,4,3,1,3,5,4,4,4,4,3,1,4,1,5,1,4,1,4,5,5,3,2,2,3,3,4,3,2,5,4,3,4,4,5,2,2,4,1,4,3
"16",13,42,2,1,1,2,"AE",4,5,4,4,3,3,3,1,5,5,4,1,4,3,4,5,3,4,4,4,2,5,1,5,4,5,2,4,5,4,1,1,5,1,4,3,4,1,3,2,3,3,5,4,3,3,4,2,2,2
"17",5,35,2,1,1,5,"AE",4,3,4,4,2,2,2,4,2,4,3,2,1,2,3,2,3,2,2,4,2,4,1,4,1,4,3,3,4,4,4,2,1,1,4,2,2,4,4,4,3,2,3,4,5,3,5,3,4,4
"18",3,27,1,1,1,2,"AE",1,4,2,5,2,5,1,5,2,5,4,3,4,2,2,1,4,3,2,4,2,4,1,5,2,4,2,4,5,4,4,3,5,3,2,3,5,3,5,5,4,2,4,1,3,2,3,4,5,3
"19",13,16,1,1,1,1,"AE",3,1,5,2,4,1,4,1,5,1,1,5,1,4,4,1,3,1,1,1,5,5,4,4,2,2,1,2,3,4,5,1,5,2,1,1,2,4,1,5,5,2,4,2,5,1,4,5,5,5
"20",6,18,2,2,1,1,"AE",2,5,2,3,3,5,1,5,1,5,1,5,2,3,4,3,3,4,4,2,5,2,1,4,4,5,4,5,4,3,5,4,3,1,5,1,1,1,5,4,3,3,3,3,3,3,4,3,4,3
"21",5,39,2,1,2,2,"AE",1,4,3,3,2,3,2,4,2,2,3,3,4,4,3,3,2,1,2,1,1,4,1,5,2,4,2,4,4,3,5,2,3,1,2,1,2,1,4,4,4,2,5,1,4,1,4,3,2,4
"22",3,17,1,1,1,1,"AE",4,3,4,3,3,3,5,4,5,4,4,3,4,2,4,4,4,2,4,3,1,4,4,4,2,4,1,4,5,3,4,2,5,2,2,5,5,3,4,4,3,2,3,1,5,5,4,2,4,5
"23",3,33,2,2,1,1,"AE",3,2,2,2,3,1,1,3,5,5,4,3,4,4,5,5,3,2,5,3,3,4,3,5,3,5,3,4,5,2,4,4,4,4,5,5,4,2,5,4,4,3,3,4,4,2,5,2,4,4
"24",5,30,2,2,2,1,"AE",1,1,5,5,1,1,5,1,5,5,5,2,5,3,5,5,5,5,5,5,1,5,3,5,1,5,1,3,5,5,3,3,5,1,5,3,5,3,5,5,5,3,5,1,5,1,5,5,5,5
"25",4,24,2,2,1,2,"AE",2,4,2,3,2,2,2,3,3,4,4,3,2,1,4,3,4,4,4,4,5,2,4,2,5,2,4,2,2,2,2,3,2,2,1,3,3,4,1,3,4,2,4,1,4,2,4,4,5,5
"26",13,30,2,2,1,1,"AE",3,3,2,3,3,4,2,4,2,4,4,3,4,4,4,3,4,5,3,4,4,2,3,4,4,4,4,4,3,3,3,4,5,3,3,4,4,3,2,3,3,3,4,3,3,4,4,4,3,3
"27",3,42,1,2,1,1,"AE",3,5,4,4,3,4,3,5,1,5,2,3,5,1,1,3,3,3,4,4,1,4,1,5,3,4,4,2,4,5,4,2,5,1,1,2,5,5,3,4,5,4,4,4,4,2,5,5,4,3
"28",3,16,1,2,1,1,"AE",2,4,3,4,3,3,2,5,1,5,3,4,4,2,3,4,3,4,3,3,1,3,3,4,2,4,2,4,3,4,3,4,4,4,2,4,3,4,2,2,1,2,3,3,3,2,4,1,4,4
"29",4,36,2,2,1,1,"AE",2,3,3,3,3,3,2,3,2,5,4,3,4,2,3,4,2,2,3,3,2,3,3,3,3,4,3,4,4,5,2,3,3,3,4,3,4,3,3,4,4,3,3,3,3,3,3,2,3,2
"30",3,16,1,2,2,5,"AE",3,2,3,2,4,1,2,3,3,3,4,2,2,3,2,3,1,2,2,2,2,4,1,3,2,3,2,4,3,4,5,1,3,1,3,1,5,3,4,4,4,2,3,2,4,2,5,4,3,3
"31",11,15,2,2,1,1,"AE",1,4,1,3,1,5,1,1,5,5,5,1,5,4,2,4,5,2,4,5,4,1,2,4,5,2,5,1,4,3,4,1,4,2,3,2,3,1,3,3,2,1,5,1,5,1,1,2,2,5
"32",3,40,1,2,1,1,"AE",3,3,3,2,3,1,2,2,4,3,4,2,4,2,3,3,3,2,3,2,2,3,1,3,3,3,3,2,4,4,4,1,4,1,3,1,3,1,3,3,4,1,4,1,5,1,5,4,3,5
"33",9,37,2,1,1,1,"AE",4,1,5,3,5,2,4,3,5,1,3,4,4,3,3,4,5,3,3,3,4,4,1,5,1,5,2,5,5,5,5,2,5,1,4,3,4,3,4,4,3,4,3,3,5,1,5,3,3,5
"34",3,42,1,2,1,2,"AE",3,4,4,3,2,4,2,3,2,3,5,3,3,3,5,4,3,4,5,3,1,4,1,5,1,5,1,3,5,3,3,5,3,5,1,5,2,3,3,4,3,3,3,2,3,3,3,3,4,4
"35",11,34,2,2,1,1,"AE",1,4,3,4,2,4,2,4,2,4,3,4,4,2,4,3,3,3,4,2,4,4,3,3,4,3,3,2,3,3,4,1,4,2,4,1,4,3,4,3,2,3,2,2,2,3,3,2,2,2
"36",4,17,2,2,0,1,"AE",2,3,3,3,5,2,1,3,5,5,5,2,4,3,5,5,5,5,5,5,1,3,1,5,3,5,3,5,5,4,3,2,5,1,1,4,5,3,2,3,3,3,3,5,4,3,4,2,5,4
"37",4,28,2,1,1,1,"AE",3,1,5,2,5,1,4,4,5,2,1,4,2,5,1,1,1,1,1,1,4,5,1,5,1,3,1,5,5,5,4,1,5,1,3,2,3,3,4,4,3,1,4,1,4,1,5,1,5,4
"38",13,34,2,2,1,1,"AE",5,1,5,2,5,1,4,2,5,5,1,5,3,3,3,3,2,3,3,3,4,5,1,5,1,3,3,5,5,5,4,5,3,3,2,3,3,3,3,3,3,3,3,3,3,2,4,1,3,2
"39",4,36,2,1,1,1,"AE",1,4,5,2,3,2,2,3,5,2,2,5,4,3,2,2,1,1,2,2,1,4,1,5,2,3,2,4,5,5,4,1,3,1,5,1,4,3,4,4,3,1,5,1,4,1,5,1,4,4
"40",13,17,2,2,1,1,"AE",5,1,3,4,3,1,2,1,3,3,4,3,4,2,4,2,3,3,3,3,3,5,3,4,1,4,2,4,3,3,3,1,3,3,3,4,3,2,3,3,2,1,4,3,4,1,5,1,3,3
"41",4,16,1,1,1,5,"AE",5,1,4,4,4,1,4,4,4,2,1,4,3,4,2,4,5,4,1,4,1,3,2,5,2,4,2,5,4,4,4,5,4,5,1,5,2,4,1,4,3,1,5,1,5,1,3,3,5,5
"42",4,27,2,1,1,1,"AE",2,5,3,3,3,4,3,2,2,5,4,3,4,2,4,2,2,2,2,3,3,5,1,5,2,5,1,4,5,5,4,1,3,2,3,3,3,3,5,4,2,3,3,4,3,2,3,1,3,3
"43",3,41,1,1,1,1,"AE",3,2,3,3,3,4,2,3,3,4,4,4,4,3,2,4,4,4,4,3,2,4,3,4,2,3,2,4,4,5,4,1,4,2,4,2,4,2,2,4,3,1,4,2,3,2,4,3,2,4
"44",0,18,2,1,1,1,"AE",3,2,4,3,5,1,4,3,4,2,4,3,4,2,1,2,4,3,4,2,4,4,2,4,2,2,3,5,4,4,4,1,3,2,2,1,5,4,4,5,5,2,5,2,4,1,5,4,4,5
