"","race","age","engnat","gender","hand","source","country","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","N1","N2","N3","N4","N5","N6","N7","N8","N9","N10","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","O1","O2","O3","O4","O5","O6","O7","O8","O9","O10"
"1",3,37,2,2,1,1,"RS",1,4,3,4,3,1,2,3,2,4,4,3,5,2,2,2,3,3,3,3,2,3,1,4,2,2,3,3,4,3,5,2,4,2,3,1,4,2,4,3,5,2,4,2,3,2,5,4,4,3
"2",3,31,2,2,1,1,"RS",3,2,4,3,4,2,2,3,3,4,5,2,5,4,4,4,2,2,4,2,1,5,1,5,1,4,1,4,5,4,4,5,5,2,2,4,3,2,4,4,5,2,5,1,4,1,4,4,4,3
"3",3,19,2,2,1,1,"RS",3,3,3,3,3,3,3,3,3,3,5,3,5,4,3,5,3,3,4,4,1,5,3,5,1,4,1,4,5,3,4,4,4,3,5,3,5,5,5,5,5,1,5,1,5,1,5,5,5,5
"4",3,18,2,2,1,1,"RS",4,1,3,1,5,1,5,2,2,3,2,2,4,3,2,3,2,2,2,2,3,4,4,2,3,2,3,4,1,3,3,3,2,3,1,5,4,2,1,2,4,1,4,1,5,1,5,2,5,3
"5",3,20,2,2,1,1,"RS",1,5,3,5,3,3,2,5,2,4,3,2,5,1,4,5,4,4,3,5,2,3,1,4,2,4,3,3,4,1,2,3,3,3,1,5,2,3,2,2,4,4,5,4,3,1,3,3,4,2
"6",3,28,2,2,3,5,"RS",1,4,5,4,5,1,3,4,5,1,2,5,2,3,1,2,4,4,4,3,3,2,1,5,2,3,4,3,5,5,5,4,5,2,3,1,3,2,3,5,5,1,5,1,5,5,5,5,5,5
"7",3,27,2,1,1,1,"RS",2,1,3,2,4,1,4,3,3,3,2,3,4,3,3,2,4,3,2,3,4,5,3,3,1,2,2,3,4,4,3,4,4,2,2,4,4,3,2,3,3,2,5,2,4,1,5,4,3,5
"8",13,23,2,3,1,1,"RS",1,3,2,4,2,2,2,3,3,5,3,3,5,1,5,3,4,4,4,4,2,3,4,3,2,4,2,3,2,5,2,1,5,4,2,1,4,3,4,3,4,1,5,1,4,1,4,4,5,4
"9",3,21,2,1,1,1,"RS",1,4,2,1,5,1,2,1,1,1,5,2,5,1,5,4,5,5,5,5,4,5,5,2,4,5,5,2,3,1,3,2,5,5,4,3,5,5,3,2,5,4,5,1,5,1,2,5,5,5
"10",3,17,2,2,1,1,"RS",2,1,3,2,3,1,3,2,4,4,3,3,5,5,3,3,4,5,3,3,1,3,4,5,1,5,3,3,5,3,2,3,2,3,3,5,2,3,2,2,4,1,5,3,5,1,4,4,5,4
"11",3,35,2,1,2,1,"RS",1,4,3,5,3,4,3,3,4,4,3,4,5,2,3,3,3,3,3,3,3,3,2,4,3,4,3,4,4,3,3,3,5,3,5,3,3,1,4,4,5,1,5,1,5,1,5,4,5,5
"12",3,30,2,2,1,1,"RS",3,3,4,3,3,1,2,1,5,3,2,3,4,5,1,1,2,1,1,1,3,3,2,2,3,3,3,3,3,3,5,3,5,1,5,1,5,1,5,5,4,1,4,1,5,1,5,1,2,5
"13",3,33,2,2,1,1,"RS",1,1,3,2,5,1,3,5,2,2,2,4,4,2,3,2,4,3,4,4,1,5,1,5,3,4,1,4,4,3,4,1,3,2,5,1,5,1,5,5,5,1,4,1,4,1,4,4,5,4
"14",3,32,2,2,1,1,"RS",4,2,3,2,3,3,3,2,4,3,5,2,4,2,3,4,4,4,3,4,3,3,2,4,3,4,3,3,4,4,3,3,4,4,3,3,2,3,2,4,5,2,5,2,4,1,5,5,4,4
"15",3,26,2,1,1,1,"RS",2,2,3,2,2,2,2,2,4,2,2,2,4,2,2,2,2,2,2,3,1,5,1,5,1,4,2,4,5,4,2,1,5,2,3,1,5,3,2,4,5,1,5,1,4,1,5,4,5,5
"16",3,18,2,2,1,1,"RS",1,4,3,5,2,1,1,5,1,5,4,2,4,5,5,4,5,5,5,5,3,3,3,4,1,3,1,2,3,4,4,4,5,4,1,1,4,2,2,2,5,1,5,1,4,1,4,5,5,5
"17",3,24,2,2,1,1,"RS",4,1,4,2,5,2,4,2,3,2,3,3,4,4,2,3,2,1,3,4,1,1,2,5,1,4,1,5,5,3,3,1,4,2,3,2,4,3,5,3,4,1,4,2,4,2,5,4,3,3
"18",3,19,2,2,1,1,"RS",1,5,1,5,1,5,1,4,1,5,4,3,4,1,3,4,5,5,3,5,2,4,1,4,1,2,2,5,3,2,3,1,5,4,1,4,3,4,2,5,3,3,3,3,2,3,4,3,4,4
"19",13,17,2,2,1,1,"RS",4,2,5,3,3,3,2,5,4,5,3,4,5,4,5,2,1,3,5,4,1,5,3,5,1,1,3,5,5,5,3,4,5,5,2,4,3,4,1,5,3,5,5,4,5,1,4,4,4,5
"20",3,20,2,2,1,1,"RS",4,2,3,4,5,1,4,2,5,3,2,4,3,4,4,1,5,4,2,5,4,3,1,5,1,3,3,4,5,4,2,1,4,5,4,1,4,3,4,4,4,4,5,3,3,2,5,4,5,3
"21",3,14,2,1,1,1,"RS",5,1,5,2,5,1,5,1,5,1,4,4,2,3,5,2,5,4,5,4,5,5,2,1,4,1,1,2,1,5,2,3,2,1,1,2,5,2,1,2,4,5,5,5,5,1,5,4,3,5
"22",3,21,2,2,1,2,"RS",2,4,3,3,1,4,1,3,4,5,1,3,2,4,2,2,2,2,2,2,3,4,4,2,3,2,3,4,2,4,4,2,4,4,2,2,2,3,2,5,5,1,5,2,5,1,4,5,5,5
"23",3,50,2,2,1,1,"RS",1,4,3,5,4,4,2,4,4,4,5,1,4,5,4,5,2,2,4,4,2,4,1,4,2,3,4,4,2,4,2,1,5,2,2,1,5,3,2,4,4,1,2,1,2,4,5,2,4,2
"24",13,15,2,2,1,1,"RS",3,2,3,2,5,1,3,3,2,4,2,3,5,3,2,2,4,4,2,1,2,2,1,2,2,1,4,2,2,4,4,2,5,1,2,1,4,3,4,5,5,3,2,3,5,1,5,4,3,4
"25",3,21,2,2,1,1,"RS",4,2,4,1,5,1,5,2,4,1,3,2,5,5,3,3,3,3,4,4,1,5,3,5,1,5,1,5,5,4,2,5,5,3,2,3,3,2,4,3,5,1,5,1,5,1,5,5,5,5
"26",3,35,2,1,1,1,"RS",4,2,4,2,4,1,5,2,5,2,5,3,5,1,5,4,5,5,4,5,2,4,3,4,4,4,2,5,4,5,1,1,3,4,1,3,4,4,4,3,5,1,5,1,3,2,5,4,5,4
"27",3,22,2,1,1,1,"RS",3,2,3,2,4,4,2,2,4,2,5,3,2,4,3,4,2,1,4,4,4,3,5,1,4,3,4,3,4,4,3,5,3,4,1,2,2,2,4,5,2,2,5,2,5,2,1,1,5,4
"28",3,35,2,2,1,1,"RS",3,5,1,5,2,3,2,5,1,5,4,4,4,4,3,3,3,2,2,2,1,5,1,5,2,4,2,4,4,3,4,1,5,1,3,1,5,3,3,4,3,1,3,2,4,1,4,3,5,3
"29",3,39,2,1,1,1,"RS",2,1,5,4,5,1,2,2,2,1,5,2,5,1,5,5,5,4,4,4,2,5,1,4,2,5,2,2,5,5,4,4,4,1,4,4,5,4,4,4,5,2,4,4,5,2,5,2,4,5
"30",3,20,2,1,1,1,"RS",1,5,2,5,2,5,2,5,3,5,3,3,4,2,3,2,5,4,3,4,4,3,2,3,2,4,3,4,4,4,3,2,4,2,4,3,4,2,4,4,3,1,5,1,3,1,5,4,5,4
"31",3,22,2,2,1,1,"RS",2,2,3,2,4,2,3,2,4,2,3,3,4,2,4,3,4,4,4,3,2,3,2,4,2,3,2,4,3,3,4,1,3,2,2,2,4,3,4,4,5,2,4,2,4,2,4,4,3,4
"32",13,20,1,2,1,1,"RS",5,1,4,2,4,1,3,3,4,3,3,2,3,2,3,4,4,3,4,3,5,3,1,4,1,4,3,4,4,3,3,2,3,2,2,1,3,3,3,3,2,2,2,2,3,3,4,1,3,3
"33",3,20,2,2,1,1,"RS",4,2,5,2,3,2,3,3,3,2,5,2,4,2,3,3,2,3,3,2,3,4,2,4,2,4,2,4,4,3,4,2,3,2,2,2,3,2,3,3,4,3,3,2,3,2,4,3,3,4
"34",3,46,1,1,2,1,"RS",4,2,5,1,5,1,5,1,5,1,1,4,2,5,3,1,1,1,1,1,1,3,1,5,1,3,2,3,3,5,4,5,3,1,3,4,4,5,4,3,5,1,4,1,5,2,5,3,5,5
"35",3,46,1,1,2,1,"RS",4,1,5,1,5,1,5,2,5,1,1,5,2,5,1,1,1,1,1,1,3,4,4,1,3,1,3,2,2,2,5,1,4,1,5,1,5,1,5,5,5,1,5,1,5,1,5,4,5,5
"36",3,43,2,1,1,1,"RS",4,2,3,4,5,2,4,4,5,4,1,2,2,1,1,1,2,4,1,3,2,5,1,3,2,2,2,3,3,4,4,4,4,1,4,1,5,3,4,5,5,3,4,2,4,4,5,2,1,4
"37",3,36,2,1,1,1,"RS",3,3,2,2,2,2,1,3,5,3,4,1,5,5,4,5,5,5,4,5,3,3,1,2,5,4,5,2,3,1,5,1,5,1,5,5,5,1,4,5,5,1,5,1,5,1,5,5,5,5
"38",3,31,2,1,1,1,"RS",1,5,2,5,3,4,2,3,5,2,4,2,3,1,5,4,4,3,5,4,1,2,1,4,1,5,3,3,4,3,5,3,4,5,1,4,3,1,3,4,2,5,5,5,3,1,4,5,4,5
"39",3,18,2,2,1,1,"RS",3,3,3,3,4,2,3,2,4,1,3,4,2,3,3,3,4,4,2,2,4,2,3,2,5,2,5,3,1,2,3,4,5,2,2,4,2,4,2,3,5,1,5,3,5,1,5,4,1,3
"40",3,18,2,2,1,5,"RS",3,3,3,2,4,2,4,2,4,1,3,4,3,3,2,3,3,3,3,3,5,1,3,1,1,2,5,3,1,2,4,3,5,3,2,3,2,3,3,3,5,1,5,3,5,2,5,4,3,3
"41",3,32,2,2,2,1,"RS",3,3,2,3,1,1,1,4,2,5,5,1,5,4,5,3,4,3,3,4,4,3,3,2,4,4,5,3,4,3,3,1,5,3,3,3,5,3,3,3,5,1,5,1,4,1,5,3,3,5
"42",3,17,2,2,1,1,"RS",1,2,1,5,1,2,1,3,1,5,5,1,2,3,5,5,5,5,5,5,3,2,1,3,2,3,5,2,3,2,1,5,2,5,1,5,2,5,1,3,2,3,5,3,2,1,3,4,4,3
"43",3,18,2,1,1,1,"RS",2,3,2,4,3,3,1,4,2,3,4,3,3,4,2,4,4,3,3,2,5,2,2,2,4,3,4,4,2,4,2,4,2,2,2,3,3,4,3,3,3,2,4,2,4,2,4,3,4,4
"44",3,35,2,1,1,1,"RS",3,2,4,3,2,2,3,5,1,3,2,3,3,2,2,3,2,2,2,2,3,4,1,4,2,4,3,2,4,2,4,1,5,1,2,1,5,4,4,4,4,3,3,3,2,2,4,4,3,3
"45",3,17,2,1,1,1,"RS",2,4,2,5,2,5,1,4,2,1,2,4,1,4,2,2,1,2,2,2,3,2,2,3,3,3,4,3,3,3,4,2,4,2,2,4,3,3,4,4,3,3,3,3,3,3,4,2,3,2
"46",3,20,2,1,1,1,"RS",2,4,2,3,2,4,1,5,2,5,3,2,5,2,4,5,4,4,4,4,4,3,2,4,2,5,2,3,5,2,2,3,5,2,2,2,4,4,3,4,4,2,4,1,4,2,4,3,5,4
"47",3,19,2,2,1,1,"RS",4,3,2,4,3,3,2,3,4,4,4,4,3,3,3,4,4,4,3,2,4,4,2,5,4,2,4,3,4,4,4,3,4,4,2,2,4,4,3,3,2,2,4,3,5,1,4,2,2,5
"48",3,20,1,1,1,1,"RS",1,4,2,5,1,2,1,4,2,5,4,2,4,2,3,4,4,4,4,4,2,4,4,3,2,4,2,4,2,2,2,2,4,2,1,4,4,4,1,3,4,1,5,1,4,1,5,4,4,5
"49",3,22,2,1,1,1,"RS",3,2,4,3,5,3,5,3,5,3,3,3,4,3,3,1,5,1,3,3,5,4,4,5,1,5,3,3,5,3,4,4,4,3,5,5,5,1,3,5,3,3,3,5,3,1,5,5,5,2
"50",3,27,2,1,1,1,"RS",1,4,3,4,3,4,1,5,2,5,4,2,4,4,3,3,2,2,4,4,3,4,1,4,3,4,3,3,4,3,2,2,3,2,2,1,3,3,3,3,4,5,4,4,1,2,2,4,4,2
"51",3,37,2,1,1,1,"RS",3,5,3,4,4,5,3,4,3,2,2,3,4,5,2,3,2,2,4,1,2,2,2,3,3,3,3,3,3,3,3,2,4,2,4,3,4,3,3,4,4,1,4,1,3,1,3,3,4,3
"52",3,35,2,1,1,1,"RS",2,4,5,1,2,1,2,3,4,2,2,4,3,2,2,1,3,2,1,1,1,5,3,5,2,3,2,3,3,4,3,5,3,1,3,2,5,3,4,4,5,1,5,1,5,1,5,3,3,5
"53",3,26,2,1,1,3,"RS",4,3,4,2,5,3,4,3,4,3,2,2,4,3,3,2,4,4,3,3,2,5,4,5,1,3,2,4,4,4,2,3,4,3,3,2,3,3,3,3,3,3,4,1,3,2,4,4,3,3
"54",13,24,2,1,1,3,"RS",2,2,4,3,4,2,5,2,3,2,2,2,3,3,2,3,3,4,3,3,2,4,2,3,2,3,3,3,4,3,2,3,2,3,3,4,3,3,3,3,3,2,3,1,5,1,5,3,4,5
"55",3,24,2,2,2,5,"RS",5,2,4,1,5,1,5,4,3,2,3,4,5,4,3,3,4,4,3,3,5,4,4,5,4,4,2,5,5,3,4,4,5,2,2,5,4,4,3,4,5,1,5,1,5,1,5,5,4,5
"56",3,23,2,2,1,1,"RS",2,5,2,5,4,4,4,5,1,3,1,4,2,2,2,2,1,2,2,2,1,2,2,1,4,2,5,2,2,3,3,5,4,2,3,5,4,2,2,4,2,1,5,1,4,1,5,3,4,5
"57",3,35,2,2,2,1,"RS",2,5,3,4,2,2,1,4,2,3,4,3,3,4,2,2,2,2,2,2,5,4,1,5,2,2,3,4,5,4,3,1,5,2,3,4,3,2,3,2,4,1,4,2,4,1,4,3,3,4
"58",3,35,2,1,1,1,"RS",3,2,3,4,3,4,4,4,5,2,4,1,4,3,5,4,4,3,4,3,4,2,3,4,4,4,4,4,3,3,3,3,2,4,3,5,3,3,4,4,2,4,3,2,4,2,4,2,4,4
"59",3,15,2,1,1,1,"RS",4,1,4,2,4,2,4,2,5,2,3,3,3,4,3,2,2,2,4,2,2,4,3,4,1,4,1,3,4,4,2,4,3,3,2,3,4,4,2,4,2,3,4,3,4,1,3,2,3,4
"60",3,19,2,2,1,1,"RS",3,4,2,3,4,3,2,4,3,4,1,4,3,3,4,2,3,2,3,3,3,5,2,5,4,2,2,4,5,4,2,3,5,2,3,1,3,3,3,3,4,2,4,2,5,1,2,3,3,4
"61",13,25,2,1,2,3,"RS",3,3,4,3,2,1,2,5,4,2,5,3,4,3,4,4,5,4,4,2,4,4,1,5,2,3,1,3,4,4,3,2,4,3,4,1,5,2,3,4,3,2,4,1,3,1,5,3,3,3
"62",3,45,2,2,1,1,"RS",2,3,4,4,3,4,3,3,2,4,3,4,1,2,3,4,1,1,5,4,2,4,3,4,3,1,2,5,4,3,4,1,4,2,3,1,5,3,3,3,4,1,5,1,5,5,5,5,5,5
"63",13,23,2,2,0,1,"RS",3,1,5,3,5,1,5,3,4,1,4,3,4,3,2,4,3,3,3,3,3,5,2,5,3,3,2,4,5,5,4,4,3,2,3,5,4,2,3,5,4,2,5,1,5,1,4,3,5,5
"64",3,18,2,2,1,1,"RS",4,2,4,2,5,1,5,2,4,2,2,2,4,3,2,2,4,4,2,2,2,5,4,2,1,3,2,5,3,4,4,4,5,4,2,4,3,2,2,5,5,1,4,1,5,2,5,5,5,5
"65",3,36,2,2,1,1,"RS",1,3,2,5,5,2,5,3,3,2,5,1,5,5,5,1,5,5,5,5,5,4,1,5,4,5,1,4,5,5,1,3,5,1,3,1,5,3,3,2,4,4,5,3,2,1,5,3,5,1
"66",3,27,2,2,1,1,"RS",3,4,2,3,3,3,4,4,1,4,4,1,4,4,4,4,4,4,4,4,3,4,3,4,2,5,3,4,4,4,2,2,3,3,4,1,4,2,4,4,4,2,4,2,4,2,4,3,4,4
"67",3,15,2,2,1,1,"RS",4,2,5,3,3,2,3,3,4,3,4,4,4,4,3,4,5,5,3,4,3,5,2,4,2,3,1,4,4,4,2,3,4,2,3,3,4,3,3,3,3,2,5,2,5,1,4,3,3,5
"68",3,23,2,2,1,1,"RS",4,3,4,3,5,4,2,2,4,2,5,1,5,5,5,5,5,5,5,5,5,5,4,5,1,5,1,4,5,5,3,4,4,5,1,3,3,3,2,5,4,2,5,2,4,1,3,4,5,5
"69",3,39,2,1,2,1,"RS",3,4,3,1,3,1,3,4,5,3,2,5,1,5,3,3,3,5,3,5,3,5,3,5,1,3,1,5,5,2,1,1,3,5,1,5,3,2,3,5,4,1,4,1,5,1,5,5,3,5
"70",3,54,2,2,1,1,"RS",4,1,5,1,5,1,4,3,5,2,2,4,2,4,2,1,2,2,1,2,1,5,3,5,1,5,1,5,5,5,4,2,4,1,3,2,4,1,3,5,5,1,5,1,5,1,5,5,5,5
"71",3,20,2,1,2,1,"RS",2,1,2,3,4,1,1,3,4,4,4,2,5,2,5,4,2,2,4,5,3,4,2,2,3,4,2,3,3,2,4,2,5,4,1,3,5,4,1,5,5,1,5,1,5,1,5,5,5,5
"72",3,20,2,1,1,1,"RS",4,2,5,1,5,2,4,2,5,1,2,4,3,3,3,2,4,4,4,3,4,3,4,2,4,3,3,3,3,4,2,4,2,3,1,5,3,4,3,2,5,1,4,5,4,1,4,4,5,4
"73",3,17,2,2,1,1,"RS",3,1,4,3,4,2,5,3,3,5,2,5,1,3,1,1,5,5,3,5,1,4,5,4,3,4,3,5,4,5,1,5,4,5,2,5,1,5,1,3,5,1,5,1,5,1,5,4,5,5
"74",3,20,2,1,1,3,"RS",4,2,3,5,4,2,3,5,2,2,1,5,4,3,2,1,1,1,1,3,4,4,1,3,2,1,3,3,2,4,3,4,4,3,2,2,1,3,3,3,3,3,3,3,3,3,3,1,3,3
"75",3,20,2,2,1,1,"RS",4,1,4,2,4,1,3,1,4,2,5,2,4,1,5,5,5,5,5,5,2,4,4,4,2,4,2,4,4,3,2,1,4,2,4,1,4,2,3,4,5,2,5,2,5,1,5,3,5,4
"76",3,20,2,2,1,1,"RS",3,1,5,5,4,1,4,4,3,2,3,3,5,4,3,4,2,3,3,3,5,5,2,5,2,5,2,4,5,5,3,1,5,4,3,5,4,4,4,5,3,1,5,2,5,1,4,3,4,5
"77",3,38,2,1,1,1,"RS",4,2,4,3,4,2,3,3,3,3,2,3,3,2,2,2,3,3,2,2,2,4,2,3,4,4,2,4,4,4,4,3,3,2,3,3,3,2,3,4,5,2,4,2,4,2,4,4,2,4
"78",3,42,2,2,1,1,"RS",4,1,5,1,5,1,4,2,4,4,2,3,4,4,2,3,3,3,2,3,1,5,1,5,2,4,2,4,5,5,4,2,5,2,3,2,5,2,5,4,5,1,5,1,5,1,5,5,5,4
"79",3,21,2,1,1,1,"RS",1,5,2,5,3,5,4,5,2,3,5,2,5,2,4,5,5,5,4,5,2,4,2,5,2,5,2,2,5,4,2,1,1,5,1,2,5,5,1,5,3,3,3,1,1,2,3,4,5,1
"80",3,21,1,2,1,1,"RS",5,1,5,2,5,1,5,2,2,3,3,4,5,3,2,3,3,3,2,3,5,5,1,5,1,1,1,3,5,3,5,3,5,3,5,3,4,3,2,4,5,5,5,1,5,1,5,1,3,5
"81",13,32,2,1,1,2,"RS",4,2,5,2,5,1,5,3,3,1,2,4,4,4,1,1,1,1,2,4,4,5,1,5,1,4,1,4,5,3,4,1,4,1,4,1,4,2,4,4,4,1,4,2,5,1,4,1,4,5
"82",3,24,2,2,1,1,"RS",3,2,3,2,4,2,4,2,2,2,5,2,4,4,5,5,4,4,5,2,3,4,3,3,3,3,3,3,4,4,3,4,5,3,3,4,3,3,1,4,4,2,5,3,3,1,4,3,3,4
