"","race","age","engnat","gender","hand","source","country","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","N1","N2","N3","N4","N5","N6","N7","N8","N9","N10","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","O1","O2","O3","O4","O5","O6","O7","O8","O9","O10"
"1",3,23,2,1,2,1,"SE",2,1,4,2,2,4,5,5,2,5,5,2,5,3,5,5,5,4,4,4,4,4,4,2,3,5,1,4,1,3,4,3,5,3,1,3,4,3,5,3,3,3,5,4,4,1,3,4,4,4
"2",3,30,2,1,1,1,"SE",4,3,5,1,5,1,5,1,5,1,1,5,1,5,4,1,3,1,4,1,2,5,1,5,3,4,1,4,5,5,5,5,5,2,1,5,4,3,1,4,4,1,5,1,5,1,5,4,5,5
"3",3,33,2,1,2,1,"SE",5,1,5,5,5,1,5,1,5,2,1,5,3,5,1,1,1,1,1,1,1,5,1,5,1,5,1,5,5,4,5,1,5,1,3,1,5,3,2,3,5,1,3,1,5,1,5,5,5,5
"4",3,19,2,2,1,1,"SE",1,4,2,5,2,2,2,3,5,5,4,3,4,3,3,2,3,2,3,2,2,3,1,4,4,4,3,4,2,3,3,4,2,4,2,4,5,3,1,4,3,4,4,2,3,1,2,4,3,4
"5",3,35,2,2,1,1,"SE",4,3,4,2,4,2,4,2,4,2,3,4,4,4,2,2,4,4,2,2,3,3,2,3,3,4,3,3,4,3,4,3,2,2,4,2,3,2,4,4,3,1,5,1,4,1,4,3,4,4
"6",3,24,2,2,1,2,"SE",1,3,3,4,3,4,3,3,3,5,2,3,4,2,3,3,3,3,2,3,1,4,1,4,2,3,3,3,4,4,4,3,4,2,3,3,4,3,3,3,4,1,4,2,4,2,5,4,5,5
"7",1,16,2,2,2,1,"SE",2,4,2,4,2,5,2,4,3,4,5,1,5,1,3,4,4,4,4,5,2,4,3,4,2,3,2,3,4,3,2,4,3,4,2,4,3,3,3,3,3,2,3,1,2,3,3,2,3,3
"8",3,33,2,2,1,1,"SE",5,1,2,3,5,3,5,3,1,1,4,2,5,1,3,4,3,2,5,5,1,5,3,4,1,2,1,4,4,3,4,2,5,1,5,2,4,3,4,3,5,2,5,1,3,1,5,4,4,4
"9",3,69,2,1,1,5,"SE",1,4,2,4,3,3,2,5,2,4,1,4,3,5,2,1,1,1,1,1,2,3,1,4,2,5,3,2,4,2,2,5,4,1,2,4,2,2,3,5,5,1,5,1,4,1,5,5,5,5
"10",3,40,2,1,1,1,"SE",3,1,5,1,5,1,5,1,5,1,1,4,3,5,1,2,1,1,2,1,1,5,1,5,2,4,1,4,4,4,5,2,5,1,4,1,4,1,4,5,5,1,5,1,5,1,5,5,5,5
"11",1,16,2,1,1,1,"SE",2,3,2,2,3,4,4,3,3,4,4,3,4,2,4,4,4,3,4,4,4,1,3,2,3,3,5,2,3,2,2,4,3,4,2,4,2,3,2,2,4,2,4,2,4,1,3,4,5,4
"12",3,41,2,2,1,2,"SE",4,2,4,3,5,1,4,2,3,4,4,3,5,2,3,3,2,3,4,4,1,5,1,5,2,4,2,4,5,5,5,1,5,4,5,1,5,1,4,5,5,3,4,2,5,1,4,4,5,5
"13",3,23,2,1,1,1,"SE",2,5,3,5,3,4,2,5,2,4,3,3,4,3,3,4,3,4,4,3,4,3,3,4,3,3,4,4,3,3,5,3,4,4,2,3,5,3,5,4,4,2,2,2,3,4,5,4,4,3
"14",3,22,2,2,1,2,"SE",2,3,2,4,3,3,1,2,2,3,3,3,4,1,3,4,3,4,2,4,2,4,2,3,2,5,3,4,3,3,4,5,2,2,1,4,2,3,1,3,3,3,2,4,3,3,3,3,5,3
"15",3,30,2,1,1,1,"SE",3,4,1,3,2,2,3,2,4,5,5,1,4,2,4,5,5,5,4,4,1,4,1,5,2,2,2,4,5,4,4,2,4,3,2,2,5,2,3,4,3,1,5,2,4,1,5,3,5,4
"16",1,28,2,2,1,1,"SE",3,3,5,2,4,3,5,4,2,1,2,5,2,3,2,5,4,4,5,3,4,2,1,5,1,5,3,4,5,5,4,1,5,1,5,1,5,1,5,4,3,2,5,2,4,3,5,4,5,4
"17",3,17,2,2,1,1,"SE",4,1,4,2,4,2,3,2,5,2,2,4,2,3,3,3,3,2,2,2,1,4,2,5,2,5,1,4,5,5,2,4,4,5,1,4,3,3,2,2,5,2,5,2,4,1,4,4,5,4
"18",3,60,2,2,1,5,"SE",4,1,5,4,5,2,4,4,5,4,3,4,3,3,4,4,4,4,4,3,2,5,3,4,5,5,2,4,4,5,5,3,4,4,5,3,4,3,4,5,5,3,5,2,5,5,5,5,5,4
"19",3,21,2,1,1,1,"SE",2,5,2,4,1,5,1,5,1,5,2,4,2,4,5,3,2,3,3,2,5,1,3,1,5,2,5,2,1,3,3,1,5,3,4,1,5,3,4,5,4,3,5,3,5,1,3,3,4,5
"20",3,20,2,1,1,1,"SE",1,5,1,5,1,5,1,5,1,5,1,5,1,2,5,1,1,1,1,3,5,1,2,1,5,1,5,1,1,1,3,4,2,4,1,5,3,5,1,3,3,1,1,1,5,5,4,3,5,4
"21",3,16,2,2,1,5,"SE",2,3,3,4,4,1,4,5,4,3,3,2,5,2,5,2,5,4,4,3,3,5,1,5,2,4,1,3,4,2,1,5,3,5,1,5,2,5,2,5,2,2,2,3,1,5,5,1,5,3
"22",3,21,2,2,1,1,"SE",2,3,3,4,3,3,2,4,3,4,5,2,5,3,4,4,4,4,4,4,2,4,2,5,2,4,2,3,5,4,3,2,5,3,1,2,4,3,2,3,4,3,4,3,3,3,5,3,5,4
"23",3,23,2,1,1,5,"SE",3,3,4,4,3,3,4,5,4,3,1,4,2,3,1,1,5,2,1,1,1,4,1,4,2,3,2,5,4,4,4,3,4,3,3,2,5,2,3,4,5,1,5,2,4,1,5,4,5,5
"24",3,25,2,2,1,1,"SE",3,3,4,4,5,3,3,5,2,3,5,3,5,2,5,4,3,2,3,2,1,5,1,5,1,4,1,5,5,3,4,2,5,3,1,1,5,3,4,3,4,2,5,1,3,1,5,3,5,4
"25",3,32,2,2,1,5,"SE",3,1,4,4,3,1,3,4,4,4,4,3,5,2,3,5,4,3,4,3,2,4,2,4,1,4,2,3,5,4,3,5,4,3,5,4,2,2,2,4,4,2,4,1,4,2,5,3,5,4
"26",3,36,2,1,1,5,"SE",3,3,4,1,4,2,4,2,4,2,1,5,1,4,2,1,4,3,2,2,2,4,2,4,3,2,2,3,4,4,4,4,2,3,3,3,3,2,2,3,5,2,4,2,5,1,5,4,3,4
"27",3,31,2,2,1,3,"SE",3,1,5,2,5,2,5,1,1,2,3,1,5,3,3,5,4,5,5,3,2,4,2,2,2,1,3,3,1,3,5,1,3,1,5,1,1,3,5,3,5,1,5,1,3,1,4,4,2,4
"28",3,32,2,2,1,1,"SE",2,3,3,1,4,3,2,3,4,3,5,3,5,4,4,5,3,3,5,2,2,4,1,5,1,5,1,4,5,4,4,2,4,1,4,1,4,2,2,4,3,2,4,3,3,2,5,2,4,3
"29",3,33,2,2,1,3,"SE",3,3,3,3,4,2,3,5,3,3,5,3,3,1,5,4,3,5,3,5,1,5,3,5,1,5,1,4,5,4,2,4,4,4,2,5,4,3,1,3,4,2,4,1,4,2,4,3,5,4
"30",3,34,2,1,1,3,"SE",4,3,4,2,4,2,4,3,3,3,2,4,3,3,2,1,2,2,3,2,3,4,1,3,4,1,2,2,2,5,4,5,4,1,3,4,3,2,1,4,4,1,4,1,5,4,5,4,4,3
"31",5,26,2,2,1,1,"SE",1,3,4,3,2,1,1,5,1,5,5,1,5,1,5,5,5,5,5,5,1,4,4,5,1,5,1,5,5,3,4,2,5,1,1,2,5,5,4,5,4,1,3,1,5,4,5,4,5,2
"32",3,18,2,2,1,2,"SE",3,1,5,4,5,2,4,4,5,2,2,5,2,3,2,4,4,4,4,3,4,5,1,5,1,5,2,5,5,3,3,3,4,2,3,2,4,3,3,4,2,3,5,3,5,1,5,2,2,5
"33",3,36,1,1,2,2,"SE",4,2,4,1,5,2,5,2,5,1,2,4,4,3,3,2,4,2,4,3,4,4,3,2,4,2,4,3,3,4,5,1,5,2,3,2,5,2,4,4,5,1,4,2,4,2,5,5,4,4
"34",3,17,1,2,1,1,"SE",4,1,3,3,5,1,4,4,3,5,5,1,5,1,5,4,5,4,5,4,2,4,4,5,1,4,2,4,4,5,4,4,5,4,4,4,4,3,5,5,4,2,5,1,3,1,4,4,5,4
"35",3,28,2,1,1,1,"SE",3,3,4,3,4,2,4,2,3,3,2,4,2,2,4,1,3,3,3,4,4,2,2,2,5,2,4,2,3,3,5,3,5,4,3,3,4,3,4,3,4,1,5,1,3,1,4,4,4,3
"36",3,17,2,3,1,1,"SE",2,4,2,3,1,3,1,4,2,5,3,3,4,2,3,3,5,5,4,4,4,2,3,3,3,3,4,2,4,2,4,2,5,1,3,1,4,4,4,4,5,1,5,1,5,1,5,5,5,5
"37",3,25,2,2,1,2,"SE",1,3,1,5,2,4,1,2,5,4,2,4,4,2,5,1,1,1,3,4,2,2,1,3,3,4,5,1,1,5,3,4,4,5,1,5,3,5,2,2,4,3,5,1,4,1,5,4,4,2
"38",3,54,2,2,1,3,"SE",3,1,4,2,4,2,3,1,5,2,3,3,2,3,3,3,3,3,3,2,2,2,1,4,2,3,2,3,4,4,3,2,4,3,2,4,3,3,2,3,5,2,5,3,5,1,4,4,3,5
"39",3,22,2,2,1,1,"SE",1,2,2,4,2,2,2,2,2,5,3,1,5,1,4,3,4,3,3,4,2,4,5,4,2,3,2,4,4,2,4,5,4,5,3,5,3,3,2,4,5,3,4,3,4,4,5,4,5,5
