"","race","age","engnat","gender","hand","source","country","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","N1","N2","N3","N4","N5","N6","N7","N8","N9","N10","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","O1","O2","O3","O4","O5","O6","O7","O8","O9","O10"
"1",11,13,1,2,3,1,"SG",1,4,2,3,4,2,1,5,2,5,3,3,5,1,3,4,4,5,3,5,5,4,4,2,3,1,2,5,2,4,3,2,5,1,3,3,4,3,2,5,5,1,4,1,4,3,5,5,4,5
"2",11,25,2,1,1,2,"SG",4,5,2,2,1,4,2,5,2,5,4,4,2,2,2,1,4,4,2,4,4,2,4,2,4,2,5,1,2,4,4,1,5,2,4,1,2,1,2,4,5,2,5,2,4,1,4,4,5,5
"3",11,15,1,2,1,1,"SG",1,5,1,5,1,5,1,5,1,5,5,1,5,1,5,5,5,5,5,5,5,5,5,2,5,2,5,1,2,1,3,5,3,5,2,5,4,3,3,3,3,1,5,1,5,1,5,4,5,5
"4",11,18,2,2,1,1,"SG",1,5,3,4,3,3,1,5,1,4,3,4,4,5,1,1,2,1,2,1,5,3,1,2,4,2,5,2,2,2,4,1,5,3,3,1,5,1,3,5,4,2,5,2,4,1,5,4,3,4
"5",11,27,2,1,1,2,"SG",3,4,4,3,3,4,3,4,3,4,5,3,4,2,3,3,3,3,3,4,2,4,2,5,2,4,2,4,4,4,5,1,5,2,3,1,5,3,5,4,3,3,5,2,4,2,4,3,4,4
"6",13,38,1,2,1,2,"SG",2,4,3,4,2,3,2,5,2,4,2,4,2,3,2,2,3,2,2,3,1,4,1,5,2,5,2,4,5,4,3,2,3,2,4,2,4,2,3,4,3,2,4,2,4,2,4,3,5,4
"7",3,17,1,1,1,4,"SG",3,3,3,4,2,3,2,4,3,5,4,4,4,2,4,3,4,4,3,4,3,3,3,3,2,3,3,3,3,4,2,4,3,3,2,4,2,3,2,3,4,2,4,2,3,4,4,3,3,3
"8",11,22,1,2,1,5,"SG",2,2,3,4,4,3,1,5,4,5,5,1,5,1,3,2,5,5,5,3,4,3,5,5,2,5,5,5,5,4,2,3,5,1,3,1,4,3,4,3,3,1,5,1,4,1,5,2,5,4
"9",11,29,2,1,1,2,"SG",2,3,2,4,2,4,1,3,4,5,4,2,4,1,1,4,4,5,5,4,3,4,1,4,3,4,4,4,4,4,3,1,3,1,5,1,1,1,4,3,4,4,5,3,3,2,4,2,4,2
"10",11,26,1,1,2,2,"SG",3,1,3,4,5,1,4,4,3,3,4,3,5,2,3,2,4,4,3,3,2,3,1,4,3,5,3,4,4,2,3,4,2,4,1,4,3,2,2,4,2,1,5,1,5,1,5,3,5,5
"11",11,22,1,1,1,1,"SG",1,5,1,5,1,5,1,5,1,5,5,5,5,2,5,5,5,5,5,5,4,2,5,5,4,5,5,3,5,1,2,5,5,5,1,5,2,5,1,1,1,3,5,1,4,1,4,4,5,5
"12",11,16,1,1,1,2,"SG",3,3,4,3,3,3,3,4,3,3,3,3,4,2,3,3,3,3,2,4,2,4,2,4,2,3,2,4,4,3,4,3,4,3,3,3,4,2,4,4,4,2,3,2,4,3,4,4,4,4
"13",11,22,1,2,2,1,"SG",1,4,3,4,2,4,1,4,3,5,5,3,5,2,4,4,4,4,4,4,4,3,1,2,4,3,4,3,3,2,3,4,5,4,2,4,5,1,4,4,4,2,3,2,4,3,4,4,3,3
"14",11,13,1,2,1,1,"SG",3,4,3,4,4,4,2,4,2,4,5,3,4,4,5,4,3,2,5,2,2,4,3,4,2,4,2,4,4,2,3,5,3,4,2,4,4,4,3,3,2,4,3,4,3,3,4,2,3,2
"15",1,22,1,2,1,5,"SG",4,2,4,3,4,2,2,3,3,2,4,4,4,3,4,3,3,4,2,4,2,4,2,4,2,4,2,4,4,4,2,2,3,2,3,2,4,3,4,3,3,2,3,2,3,3,4,3,4,3
"16",11,37,2,1,1,5,"SG",1,5,4,5,4,4,5,5,1,5,3,3,3,3,3,3,3,3,3,2,1,5,1,5,1,3,1,5,5,4,4,1,5,1,3,1,5,1,5,5,5,1,3,1,2,3,4,4,5,3
"17",11,16,1,2,1,5,"SG",1,4,4,5,1,4,1,5,1,5,5,5,5,5,3,3,5,5,5,5,1,4,3,5,1,5,5,5,5,5,5,3,5,2,4,2,5,3,5,5,3,2,5,3,3,4,5,3,5,3
"18",11,13,2,2,1,1,"SG",5,2,5,4,5,2,4,4,5,4,1,3,4,4,3,1,4,2,2,2,1,5,1,5,1,5,2,5,5,4,2,4,4,3,2,3,4,4,4,3,3,1,5,1,4,1,5,3,5,5
"19",11,13,1,1,1,3,"SG",1,2,4,3,2,2,3,5,4,5,4,4,5,3,5,1,1,1,2,2,1,4,4,4,3,4,2,4,4,3,2,4,4,2,1,2,5,4,1,3,2,4,2,2,3,5,5,1,1,3
"20",11,16,1,2,1,1,"SG",3,5,3,5,1,5,1,5,1,5,4,4,5,1,5,5,5,5,5,5,1,5,5,5,1,5,5,5,5,5,4,5,5,5,1,5,4,3,3,3,4,3,5,3,5,1,5,3,5,4
"21",11,13,1,1,1,3,"SG",1,3,4,4,2,2,2,4,2,5,4,2,5,3,4,1,1,1,1,2,1,4,2,4,1,3,2,3,4,3,3,2,4,4,2,5,5,2,1,5,5,1,4,1,4,2,5,4,1,5
"22",11,16,1,2,1,1,"SG",1,2,3,3,3,3,1,3,3,4,5,3,4,1,5,5,5,5,5,5,1,4,3,4,2,4,2,3,4,3,1,5,2,5,1,4,1,4,1,2,4,1,4,1,4,2,4,4,4,4
"23",11,14,1,1,1,5,"SG",3,5,3,5,3,2,3,4,3,5,3,2,4,1,2,1,2,2,1,5,3,4,4,4,2,2,2,4,4,3,2,1,5,3,3,3,4,2,2,3,5,3,5,3,3,3,3,3,5,5
"24",11,14,1,2,1,1,"SG",1,4,5,4,4,4,3,4,4,4,4,5,4,3,4,2,2,3,4,2,1,4,3,4,2,3,3,4,4,4,2,4,5,3,2,4,4,3,2,2,2,2,4,2,4,2,4,2,4,4
"25",11,23,1,2,1,1,"SG",4,3,4,2,4,2,3,3,5,5,2,3,3,3,3,2,1,2,2,2,2,4,2,5,2,5,2,5,5,5,4,2,5,2,2,2,1,2,4,5,3,2,5,3,5,2,5,1,5,4
"26",4,38,2,1,1,1,"SG",1,5,1,5,5,1,3,5,5,1,1,5,5,5,1,1,1,1,1,1,1,5,1,5,1,5,1,5,5,5,5,1,5,1,1,1,5,1,5,5,5,1,1,1,5,1,5,1,1,5
"27",11,17,1,2,2,2,"SG",1,3,3,5,2,3,1,5,1,5,5,3,4,2,4,2,3,2,3,2,1,4,1,5,2,5,1,5,5,4,4,2,5,3,4,2,5,1,3,4,3,4,3,1,3,3,3,4,5,3
"28",9,31,1,2,1,2,"SG",2,3,2,3,3,2,4,3,3,3,3,3,4,1,3,4,3,2,4,2,2,4,1,4,4,4,2,4,5,4,3,3,4,2,3,3,5,3,3,4,5,1,5,1,5,1,5,5,5,5
"29",11,19,1,2,1,2,"SG",2,3,4,5,4,3,3,1,4,3,5,3,4,1,5,5,5,5,5,5,2,4,4,4,3,4,3,3,4,4,3,2,4,5,2,1,4,3,3,3,2,1,5,3,3,1,3,2,4,3
"30",11,27,2,1,1,1,"SG",4,2,4,2,5,2,4,2,4,2,3,4,4,2,4,4,4,4,3,4,4,4,2,5,2,4,2,5,4,4,2,4,5,4,2,2,3,2,2,4,3,2,4,2,3,2,3,3,5,3
"31",11,25,2,2,2,1,"SG",1,3,2,4,4,3,1,1,1,5,5,3,5,5,5,5,5,5,5,5,2,2,3,3,2,3,4,3,3,5,4,1,3,4,5,5,5,4,4,4,2,4,5,2,3,2,2,5,5,4
"32",13,18,2,2,1,1,"SG",4,2,4,1,5,2,4,2,5,2,4,3,4,3,3,2,3,1,2,2,2,3,4,4,1,4,3,4,4,5,5,4,4,2,4,3,4,2,4,3,5,1,4,1,5,2,4,5,4,5
"33",3,30,2,2,1,2,"SG",4,1,5,3,3,1,2,2,4,3,5,3,3,4,5,2,2,2,5,1,2,4,2,5,1,5,2,2,4,4,4,5,4,1,1,3,3,1,2,5,5,1,4,1,5,2,5,5,4,5
"34",10,28,2,1,1,2,"SG",1,5,3,3,3,2,2,4,2,4,2,4,3,2,2,2,3,2,2,1,2,4,1,4,3,4,2,4,4,3,4,4,5,3,5,4,4,3,4,4,4,1,5,1,5,1,5,3,4,5
"35",11,24,2,1,1,1,"SG",3,1,4,1,4,4,4,2,3,2,2,3,2,4,4,1,1,1,2,1,2,2,2,4,4,4,2,4,4,4,4,5,3,2,2,2,4,2,2,3,1,4,1,4,4,5,4,1,4,5
"36",11,16,1,1,1,1,"SG",2,3,3,3,5,3,1,2,5,4,4,2,4,1,4,5,5,5,5,5,1,5,4,4,1,5,2,5,5,2,3,4,4,2,3,5,3,1,2,4,4,2,4,3,5,2,4,5,4,2
"37",11,31,1,2,1,1,"SG",5,3,3,2,2,2,2,3,3,2,3,3,3,3,2,3,2,1,4,1,2,2,4,3,4,4,4,3,3,4,3,4,4,2,3,3,3,1,3,4,5,3,5,3,3,1,4,5,4,4
"38",11,18,1,1,1,1,"SG",1,2,3,4,2,3,2,5,1,4,3,3,5,2,4,4,4,5,4,4,2,4,2,4,2,3,2,4,4,3,4,2,4,3,3,3,3,3,4,3,3,2,5,1,5,1,4,4,5,5
"39",11,19,2,2,1,2,"SG",2,3,5,4,4,3,3,4,2,3,3,2,4,3,1,2,3,1,1,2,1,5,1,5,1,5,1,4,5,5,4,1,5,1,4,1,5,1,4,5,4,2,4,2,4,3,5,3,5,3
"40",11,25,1,1,1,2,"SG",3,1,5,5,4,2,4,5,2,2,2,4,2,2,2,2,2,2,3,2,1,5,2,4,1,3,2,5,4,5,2,1,4,2,2,2,5,3,4,4,3,2,4,2,3,2,5,2,4,3
"41",11,34,1,1,1,2,"SG",3,3,4,3,3,3,2,3,5,4,3,3,5,2,4,4,4,3,4,3,3,3,1,5,3,4,3,4,5,4,3,3,3,2,2,4,4,1,3,3,2,4,4,2,3,3,2,3,3,2
"42",13,15,1,1,1,1,"SG",2,5,2,5,1,5,1,5,1,5,4,2,4,4,4,3,4,4,5,4,1,2,1,5,1,5,4,5,5,4,3,4,3,4,3,4,3,3,2,3,5,4,5,4,3,1,4,4,5,3
"43",11,24,1,2,1,5,"SG",2,3,3,3,3,3,3,4,2,3,3,3,3,4,3,4,5,4,4,2,1,4,3,5,2,5,3,5,4,3,3,5,3,4,3,3,2,2,3,3,2,3,5,3,4,2,4,3,3,4
"44",11,19,1,2,1,1,"SG",2,3,3,4,4,4,2,3,4,4,4,3,4,4,3,3,2,2,3,2,5,5,2,5,2,4,1,5,5,5,3,4,4,4,4,3,3,4,3,3,2,4,5,3,3,2,4,3,5,3
"45",11,30,2,2,1,2,"SG",2,2,3,4,3,3,2,2,5,5,4,4,4,4,4,1,4,3,2,1,2,5,1,3,4,5,3,3,3,2,3,2,4,1,2,1,3,3,2,2,4,2,4,2,4,1,4,2,4,4
"46",11,32,1,2,1,1,"SG",2,5,2,4,1,4,1,4,3,5,5,2,5,2,4,2,5,4,4,3,5,1,1,3,5,4,5,3,3,1,3,2,5,1,2,1,5,1,4,4,1,4,5,5,3,2,4,1,3,2
"47",11,32,1,2,1,2,"SG",2,4,3,4,3,2,2,4,2,4,3,3,3,3,2,2,4,4,4,3,3,4,1,4,3,4,3,2,4,4,3,5,4,4,2,4,2,3,2,3,4,1,5,1,4,1,4,4,5,4
"48",11,24,1,2,1,1,"SG",2,2,4,5,4,1,3,5,3,2,4,4,3,1,1,4,5,5,4,5,1,5,2,5,1,4,1,5,4,5,4,4,4,5,1,1,5,1,2,4,3,2,4,3,4,1,5,2,4,4
"49",3,37,2,1,1,1,"SG",4,3,4,2,4,2,4,2,4,2,4,4,5,2,4,4,3,3,4,4,2,4,2,4,2,4,2,5,4,4,3,4,4,2,1,1,4,4,3,4,3,2,5,1,3,2,4,3,5,4
"50",11,46,2,2,1,1,"SG",3,3,3,3,3,3,3,3,2,4,4,4,4,3,4,4,4,4,4,4,2,4,2,4,4,4,3,3,4,3,3,3,4,3,3,3,4,3,3,4,3,3,4,3,4,2,4,3,5,4
"51",4,34,1,1,1,2,"SG",2,4,5,4,2,4,2,2,4,5,4,4,4,3,2,2,1,2,2,3,5,3,1,4,1,5,2,4,5,5,4,1,5,1,3,1,2,2,4,5,2,2,3,1,5,3,4,3,2,5
"52",11,13,1,2,1,2,"SG",2,1,4,4,4,2,3,4,2,3,4,3,5,2,4,4,4,4,3,3,1,5,1,4,1,5,2,5,5,4,4,2,4,2,4,3,3,2,4,4,5,3,3,3,4,4,4,4,2,3
"53",11,19,2,2,1,2,"SG",2,5,2,5,2,5,1,5,1,5,2,5,4,4,2,2,2,2,4,2,3,5,3,4,4,4,4,4,4,3,4,2,4,4,2,4,4,4,2,3,3,3,5,2,4,1,4,1,4,3
"54",13,28,2,2,1,1,"SG",2,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,2,3,3,2,2,3,2,4,3,4,3,3,4,3,3,2,4,2,4,2,2,2,4,3,2,2,4,3,4,2,4,2,3,3
"55",11,39,2,1,1,2,"SG",3,3,5,1,5,1,4,3,3,1,1,5,2,5,2,1,1,1,1,1,2,5,1,5,1,3,1,4,4,5,5,1,5,1,3,1,1,1,4,5,4,2,4,2,5,1,5,1,5,4
"56",11,53,2,2,1,1,"SG",1,3,4,4,3,4,2,4,1,4,3,3,3,3,3,4,2,1,3,2,1,3,1,4,3,4,2,3,3,3,1,1,3,1,3,1,3,1,3,3,3,4,3,3,2,3,3,1,2,1
"57",11,13,1,2,1,1,"SG",3,1,5,3,4,2,1,5,1,4,5,5,5,2,1,5,5,5,5,3,1,4,1,5,1,4,2,4,5,5,4,5,5,4,1,5,5,3,3,3,1,3,5,3,5,1,5,1,3,5
"58",11,25,1,1,1,1,"SG",5,1,5,2,5,5,5,1,5,2,2,2,2,5,1,1,2,1,1,1,2,5,1,5,2,4,2,5,4,5,5,1,4,2,4,1,4,2,4,4,3,2,5,3,3,2,4,1,4,4
"59",11,17,1,2,1,5,"SG",2,4,3,5,2,3,1,5,3,4,1,5,2,5,1,4,1,1,1,1,1,5,1,5,1,5,1,5,4,3,2,3,4,3,1,4,3,4,2,2,5,1,5,1,4,1,5,1,5,3
"60",9,29,2,2,1,1,"SG",5,2,3,3,5,2,2,2,4,3,5,5,4,2,3,4,4,2,3,2,5,2,2,4,1,2,3,3,3,3,1,5,2,3,2,4,3,3,2,4,4,1,5,1,4,1,5,3,4,4
"61",11,18,2,1,1,1,"SG",1,5,2,5,2,5,2,5,1,5,5,4,4,2,1,4,5,4,3,4,5,2,4,4,5,2,5,2,3,3,3,1,4,3,4,2,5,3,1,3,4,3,5,4,5,1,4,4,2,5
"62",11,33,2,1,1,1,"SG",2,3,3,5,2,3,1,5,2,5,3,4,5,1,4,4,3,3,3,4,2,2,2,5,3,5,3,4,5,5,4,4,4,3,4,4,3,2,4,5,4,4,5,3,4,1,3,5,5,4
"63",11,19,1,2,1,1,"SG",3,2,4,3,3,2,4,3,2,5,3,4,4,3,4,3,4,3,3,2,2,4,3,4,2,3,3,5,3,3,2,5,3,4,1,5,3,4,2,2,3,3,4,2,4,3,3,2,3,3
"64",11,30,2,1,1,1,"SG",1,4,3,4,2,4,1,4,2,4,2,3,4,2,2,2,2,2,2,4,2,3,2,3,3,3,3,4,3,3,3,2,3,2,2,2,4,3,4,3,2,2,3,2,3,4,3,2,4,3
"65",11,18,2,2,1,2,"SG",3,2,5,2,4,2,4,3,3,3,3,5,3,2,3,3,4,3,3,4,1,4,2,5,3,5,2,5,3,5,3,4,5,3,2,3,3,3,1,3,4,3,5,1,4,1,3,2,5,5
"66",11,17,2,2,1,2,"SG",2,4,2,3,3,4,1,3,3,5,3,3,4,3,4,4,3,2,4,3,3,4,1,4,3,4,3,4,4,3,2,2,4,4,2,2,3,3,2,3,1,4,4,3,3,2,3,1,5,3
"67",11,15,2,2,1,2,"SG",2,4,1,5,2,4,1,5,2,5,2,4,4,2,1,5,5,5,5,3,3,4,4,4,2,3,4,4,4,3,2,2,3,4,1,2,4,4,4,2,2,2,5,1,4,1,2,4,5,5
"68",11,24,1,2,1,1,"SG",3,1,5,2,2,1,2,4,5,5,3,5,4,4,2,2,2,1,4,1,1,5,2,5,1,5,1,5,5,5,3,5,4,4,1,5,4,1,3,4,3,4,4,1,4,1,5,2,5,4
"69",11,20,1,2,1,1,"SG",1,4,2,5,1,4,1,5,1,5,3,5,4,1,2,2,2,2,5,4,4,3,4,2,5,2,5,4,2,3,4,3,4,3,1,1,4,5,2,3,5,4,5,4,3,2,4,4,5,3
"70",11,27,2,2,1,1,"SG",2,2,4,2,5,2,4,2,5,3,2,4,3,3,2,2,3,2,2,3,2,5,1,4,2,5,1,4,4,3,4,2,5,1,3,2,4,2,4,4,3,1,4,1,4,2,5,2,4,4
"71",11,24,1,2,1,1,"SG",4,3,3,3,2,3,1,5,2,5,5,2,5,2,5,5,4,5,5,2,1,5,1,5,2,5,1,3,5,5,3,5,2,5,1,5,3,5,3,3,4,3,5,3,5,1,3,2,5,4
"72",11,43,1,2,1,2,"SG",1,5,1,5,2,5,2,5,1,5,3,1,4,1,1,1,1,1,1,1,1,3,1,5,2,5,4,5,5,1,3,1,4,1,2,1,5,1,4,4,2,3,4,1,1,1,5,1,5,1
"73",1,18,1,1,1,2,"SG",5,2,5,2,5,1,5,1,5,1,2,4,1,4,2,1,3,2,4,2,5,5,3,2,5,2,3,2,1,4,3,2,3,2,1,3,3,4,2,3,4,1,4,2,4,2,5,5,2,4
"74",11,21,2,1,1,1,"SG",1,4,3,4,3,3,1,4,1,5,3,3,4,3,2,3,3,2,2,4,4,4,2,4,3,3,2,4,4,3,4,3,3,3,4,3,4,2,3,3,3,2,4,2,4,2,4,2,4,4
"75",11,35,1,2,2,5,"SG",1,3,4,4,2,3,2,5,1,5,4,4,3,2,2,3,3,3,2,4,5,4,1,4,2,5,3,5,4,5,4,1,4,4,4,1,1,2,4,3,3,4,4,3,3,1,4,3,3,3
