"","race","age","engnat","gender","hand","source","country","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","N1","N2","N3","N4","N5","N6","N7","N8","N9","N10","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","O1","O2","O3","O4","O5","O6","O7","O8","O9","O10"
"1",13,19,1,2,1,2,"TT",4,1,4,3,4,2,2,4,4,5,4,5,4,5,2,2,1,1,4,1,5,5,1,5,1,5,1,5,5,5,4,1,5,1,4,1,5,1,3,5,2,2,5,1,5,1,4,1,5,5
"2",13,25,1,2,1,1,"TT",5,1,5,1,5,1,5,1,5,2,4,3,4,5,3,3,3,3,4,2,4,3,5,2,4,2,4,2,3,3,4,3,5,2,3,3,3,3,3,4,3,2,5,5,4,1,5,3,3,4
"3",13,26,1,2,1,1,"TT",4,1,5,5,3,1,3,5,4,5,4,5,5,5,4,4,5,3,2,1,1,5,1,3,1,5,1,5,5,5,3,5,3,4,2,4,4,4,3,4,3,2,2,1,4,1,3,1,5,2
"4",1,29,1,2,1,5,"TT",3,2,3,2,5,1,3,5,3,3,3,5,3,3,4,3,5,4,3,1,5,3,1,5,3,5,3,4,4,3,4,1,5,1,5,1,5,1,3,3,4,2,5,1,5,1,5,5,5,5
"5",1,41,1,2,1,2,"TT",2,4,4,4,3,2,2,4,2,3,3,4,3,3,2,3,2,1,3,1,1,4,1,4,2,4,2,3,4,4,2,1,5,1,4,1,4,1,4,4,4,1,4,1,5,1,4,4,5,5
"6",4,23,1,2,1,5,"TT",4,2,3,3,3,3,3,5,1,5,5,4,4,3,5,4,4,3,3,1,1,5,2,5,2,5,2,5,5,3,2,5,1,4,1,5,5,3,3,3,3,1,3,1,5,1,5,2,3,5
"7",1,35,1,2,1,5,"TT",2,2,2,5,3,3,1,3,4,4,1,2,4,3,4,5,5,5,4,4,1,3,4,2,2,5,2,3,2,3,2,4,5,2,4,5,5,2,2,3,3,5,2,1,3,4,4,2,2,2
"8",4,18,1,1,1,5,"TT",1,2,2,4,5,1,1,4,2,5,5,2,5,1,5,5,5,5,5,5,1,4,4,4,1,3,4,4,5,1,4,2,5,4,1,2,5,5,1,3,5,1,5,1,5,1,5,5,5,5
"9",3,40,1,1,1,5,"TT",1,2,2,4,4,1,1,5,1,5,4,3,5,3,4,3,3,3,4,3,4,2,2,3,3,3,4,3,4,2,5,1,5,1,4,2,4,1,4,5,5,1,5,1,5,1,4,4,5,5
"10",1,24,1,2,1,1,"TT",3,1,3,2,4,1,2,4,5,2,4,2,5,3,3,4,5,2,3,2,4,3,4,3,2,3,3,4,2,2,3,2,4,2,4,2,4,4,2,2,5,1,5,2,4,1,4,4,5,5
"11",4,1961,1,2,1,5,"TT",3,3,4,3,3,4,2,3,4,5,4,2,3,3,3,3,1,2,4,3,3,3,1,3,3,5,2,4,2,5,3,2,5,1,4,1,4,1,4,4,3,4,3,3,5,3,4,1,5,4
"12",1,18,1,2,1,1,"TT",1,3,1,5,2,5,2,5,1,5,2,1,5,1,5,3,5,5,5,4,2,3,2,5,2,5,3,5,5,3,4,5,5,4,2,5,3,3,2,3,3,2,4,2,2,2,4,3,5,3
"13",1,16,1,2,1,1,"TT",3,2,3,4,4,1,5,4,3,5,2,4,5,3,2,3,2,2,3,2,1,4,4,5,1,3,1,4,4,3,3,3,4,2,2,2,5,2,2,3,4,2,2,1,4,3,4,4,4,3
"14",1,33,1,2,1,1,"TT",2,4,4,2,5,1,4,2,2,5,3,3,5,2,3,3,5,4,2,3,1,5,1,5,1,2,1,5,5,5,2,4,5,1,5,5,5,1,5,5,5,1,5,1,5,1,5,5,5,5
"15",12,20,1,1,1,1,"TT",4,1,5,2,4,1,2,3,3,5,5,5,4,2,5,5,5,5,5,5,4,5,5,4,4,5,2,5,3,3,3,4,3,3,2,5,3,3,2,2,2,4,4,4,4,4,5,1,5,4
"16",4,17,2,2,1,1,"TT",1,4,2,3,2,3,1,2,2,2,3,4,3,2,4,3,3,2,4,2,4,3,1,3,3,2,3,4,3,3,5,4,4,2,2,3,4,2,1,4,2,2,3,3,3,3,4,1,2,3
"17",1,27,1,1,2,1,"TT",1,3,2,5,2,4,1,5,1,5,5,1,5,4,1,5,5,4,5,5,1,4,1,5,5,5,5,3,4,4,2,1,4,2,1,4,5,1,4,5,2,1,5,1,3,1,4,1,5,5
"18",4,22,1,2,1,1,"TT",1,2,1,2,5,2,2,4,2,1,1,4,2,4,1,2,2,2,4,1,2,5,4,1,4,2,2,4,1,2,2,4,4,4,1,4,4,2,2,4,4,1,5,2,4,1,5,4,4,4
"19",4,18,1,2,0,1,"TT",3,1,5,2,5,2,5,2,5,3,4,4,5,3,2,2,5,5,4,3,2,4,5,3,1,4,1,4,5,3,4,3,5,3,3,3,3,3,5,3,5,2,5,2,4,1,4,5,5,4
"20",13,31,1,1,1,1,"TT",4,2,3,4,4,2,2,3,4,4,3,4,3,3,2,4,3,4,4,2,3,3,5,2,4,4,4,4,2,2,3,4,4,4,1,5,3,2,3,4,4,1,5,1,4,1,4,5,3,4
"21",1,33,1,2,1,2,"TT",3,3,5,4,3,2,1,1,2,5,4,3,4,3,2,4,4,2,3,2,1,5,1,1,1,5,4,5,5,5,3,3,4,3,3,3,4,2,3,3,4,2,3,2,4,1,5,2,4,4
"22",1,22,1,1,1,2,"TT",1,2,4,4,4,2,2,4,2,5,2,4,5,2,2,2,4,2,2,2,1,5,2,5,1,5,1,4,5,4,2,2,4,4,2,1,5,4,2,2,4,1,5,1,5,1,5,4,5,5
"23",12,34,1,2,1,2,"TT",5,2,4,1,4,1,3,3,4,2,2,4,2,5,2,2,4,4,2,2,4,3,3,3,3,4,3,3,3,3,4,2,5,1,3,2,4,3,3,4,5,1,3,1,5,1,5,3,4,5
