"","race","age","engnat","gender","hand","source","country","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","N1","N2","N3","N4","N5","N6","N7","N8","N9","N10","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","O1","O2","O3","O4","O5","O6","O7","O8","O9","O10"
"1",11,23,2,2,1,1,"MY",1,4,2,3,4,4,1,4,2,3,5,3,2,3,4,3,3,2,3,3,2,3,2,4,2,5,3,3,4,3,3,3,3,3,3,2,3,1,5,3,2,4,4,3,3,4,3,2,5,2
"2",11,19,2,2,1,2,"MY",4,3,3,3,3,3,4,4,3,1,4,4,4,2,4,5,5,3,4,3,1,4,1,4,4,5,3,5,4,5,3,5,3,4,3,5,2,1,3,4,2,3,4,3,5,2,5,3,2,4
"3",11,19,2,1,1,1,"MY",1,5,1,5,1,5,1,5,1,5,5,1,5,2,5,5,4,4,1,3,5,1,1,3,5,5,5,1,1,3,3,5,3,3,3,5,3,4,2,3,3,3,5,5,1,3,3,2,5,1
"4",11,29,1,2,1,5,"MY",2,4,2,4,2,4,2,4,2,4,3,4,3,2,3,4,4,4,2,4,3,3,2,4,2,4,2,4,3,3,4,2,2,2,2,4,4,2,4,3,4,2,2,2,4,2,4,2,4,3
"5",1,19,2,1,1,2,"MY",2,4,2,4,3,3,3,4,2,4,3,4,4,4,4,3,3,3,3,3,4,4,3,4,2,4,3,3,3,4,4,3,3,4,2,4,4,3,3,3,4,3,4,3,4,2,4,2,3,4
"6",11,18,2,1,2,1,"MY",1,4,5,4,4,5,2,2,5,4,3,5,4,3,3,1,2,1,4,2,5,4,1,5,2,4,1,5,5,4,5,5,4,3,2,4,4,4,3,4,3,1,5,1,4,1,4,5,3,4
"7",11,21,1,1,1,2,"MY",2,4,3,4,2,4,3,4,4,4,3,3,5,2,4,4,4,3,3,4,2,4,3,3,3,3,2,4,3,2,2,2,4,4,2,3,4,3,2,3,3,2,4,2,4,2,4,3,4,4
"8",11,21,2,1,1,5,"MY",1,4,2,5,1,4,1,5,1,5,2,1,4,5,1,2,1,1,1,1,2,3,2,3,2,3,4,4,3,1,4,2,4,2,3,4,4,2,4,4,1,2,3,2,4,3,4,1,5,3
"9",11,22,2,2,1,1,"MY",3,2,4,2,4,3,4,2,4,4,3,4,3,4,4,2,4,4,2,4,4,2,3,4,2,4,3,2,4,4,3,5,2,4,2,2,3,3,3,4,4,4,2,2,3,3,2,3,4,2
"10",1,20,2,2,1,1,"MY",1,4,1,5,1,4,1,5,1,5,4,1,5,1,5,5,5,5,5,5,3,4,5,3,5,4,5,1,1,4,2,3,4,4,2,2,3,4,2,1,4,2,5,5,3,2,2,5,1,4
"11",11,21,1,2,1,2,"MY",2,5,3,4,2,5,2,5,2,5,3,3,4,3,3,2,1,1,2,2,2,3,1,3,2,3,2,5,3,5,3,1,5,2,2,2,3,3,4,3,2,2,4,2,4,2,3,2,5,3
"12",11,21,2,1,2,1,"MY",1,1,5,5,3,4,3,4,1,4,2,5,5,2,4,3,4,3,3,4,3,4,2,5,1,4,2,5,5,3,2,1,3,5,3,4,2,3,1,3,2,5,4,5,2,2,3,2,4,2
"13",11,23,2,1,1,1,"MY",2,5,3,4,2,5,2,4,2,4,3,2,4,2,4,2,3,2,3,2,3,4,3,4,1,3,3,3,4,3,2,3,3,3,3,3,1,3,2,3,2,4,3,2,3,4,2,2,4,3
"14",11,21,2,2,1,5,"MY",1,1,3,3,4,4,3,3,3,4,4,2,4,3,2,3,3,3,4,3,3,3,1,3,3,4,3,2,4,3,3,3,4,1,2,2,3,2,4,3,2,3,4,3,3,2,4,2,4,3
"15",11,20,1,1,2,1,"MY",3,1,4,4,5,3,4,3,4,3,3,3,4,3,4,3,4,3,4,3,5,5,3,5,2,4,3,4,5,4,3,2,3,3,3,3,3,3,3,3,2,3,5,3,4,1,3,3,5,5
"16",11,26,2,2,1,1,"MY",4,3,5,2,4,2,4,1,5,5,4,2,5,4,5,4,4,3,4,3,1,5,2,5,1,5,4,5,5,5,3,5,2,5,1,5,1,3,1,2,5,1,4,1,4,2,5,4,5,4
"17",11,19,1,2,1,5,"MY",2,3,3,2,4,3,2,2,3,4,3,2,3,4,4,3,3,1,2,1,2,2,1,5,5,3,3,3,4,4,3,3,4,1,4,4,2,1,3,5,3,3,3,3,2,3,3,2,3,3
"18",11,20,2,2,2,5,"MY",3,4,3,3,3,3,2,3,3,4,2,3,4,3,3,3,3,3,4,3,3,3,3,4,3,4,3,3,4,4,4,2,4,2,4,2,4,2,4,4,2,3,3,4,3,3,4,3,3,3
"19",11,20,2,1,1,5,"MY",5,2,5,4,5,3,5,3,5,3,4,2,4,3,3,4,4,4,4,4,5,4,2,5,3,5,2,4,5,5,3,2,4,3,4,4,3,2,5,4,4,3,5,2,4,2,4,4,5,4
"20",11,22,2,2,1,5,"MY",2,5,1,3,1,4,1,2,2,5,3,3,4,3,2,4,4,3,3,2,4,3,1,4,3,4,3,3,4,3,3,1,3,2,4,5,4,2,4,4,2,3,4,3,3,3,3,2,4,3
"21",11,18,2,2,1,1,"MY",4,1,3,3,5,3,3,1,5,5,3,1,5,3,2,4,2,1,5,2,5,4,3,5,3,5,3,3,5,3,5,2,4,3,4,3,4,1,5,4,4,3,3,3,5,3,3,1,3,1
"22",11,19,2,2,1,5,"MY",3,1,3,3,4,1,3,4,3,4,4,3,3,3,3,1,4,3,3,3,2,3,1,3,3,5,3,3,4,4,3,1,5,2,3,3,5,1,2,3,3,3,5,3,4,1,4,3,3,5
"23",11,27,2,1,1,1,"MY",1,5,2,5,1,5,1,5,1,5,5,1,5,2,5,5,5,4,4,4,4,2,1,3,4,5,3,3,3,2,2,2,3,3,4,3,4,3,2,3,2,3,3,3,3,3,2,2,5,3
"24",11,26,2,2,2,1,"MY",2,2,3,4,4,2,5,3,3,4,5,2,5,3,4,4,3,3,3,3,5,5,3,5,2,3,2,4,3,3,1,5,5,5,2,4,1,4,2,4,3,1,5,1,5,2,5,3,4,5
