"","race","age","engnat","gender","hand","source","country","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","N1","N2","N3","N4","N5","N6","N7","N8","N9","N10","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","O1","O2","O3","O4","O5","O6","O7","O8","O9","O10"
"1",1,14,2,2,1,1,"PK",5,1,1,4,5,1,1,5,5,1,5,1,5,5,5,5,5,5,5,5,5,1,5,5,1,5,1,5,5,5,4,1,5,1,5,1,5,1,5,5,4,5,5,1,5,1,5,5,5,5
"2",4,19,2,1,1,1,"PK",1,4,1,5,1,5,1,4,1,5,1,1,2,5,5,4,5,4,4,2,4,1,4,1,5,1,5,1,1,1,1,5,3,5,1,5,1,5,1,2,3,1,1,5,1,1,4,1,1,4
"3",13,24,2,2,1,1,"PK",5,5,5,1,1,5,1,1,5,5,5,1,5,1,5,5,1,5,5,5,1,1,5,5,1,5,1,1,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,1,5,1,5,5,5,5
"4",1,20,2,1,1,1,"PK",4,1,5,3,5,2,4,2,3,5,2,1,2,3,1,2,1,5,3,4,2,5,1,5,2,5,1,3,4,4,5,4,5,3,3,5,1,4,5,4,4,3,4,1,4,1,4,3,2,4
"5",13,22,2,2,2,2,"PK",5,1,5,3,5,1,5,1,5,3,2,4,5,4,4,5,5,5,4,4,1,2,1,5,2,5,1,5,5,4,5,1,2,4,3,5,5,3,1,3,4,1,5,1,4,1,5,3,4,4
"6",13,21,2,1,1,2,"PK",4,1,5,4,4,2,4,1,2,2,2,4,5,4,2,4,4,2,2,4,4,3,1,5,2,4,2,3,4,5,3,1,5,2,4,4,1,2,5,4,2,1,4,2,3,1,4,2,4,3
"7",4,36,2,1,1,1,"PK",1,5,1,4,1,2,1,5,1,4,4,4,4,4,2,2,5,5,2,4,4,1,1,5,2,4,4,4,4,4,5,4,5,1,4,2,5,1,4,4,3,4,2,4,5,2,5,4,4,4
"8",13,22,2,2,2,2,"PK",4,1,4,4,4,3,3,2,2,3,3,3,4,4,4,4,4,4,4,3,1,2,3,5,3,4,3,4,5,3,3,2,3,3,3,2,4,3,2,3,3,3,4,3,5,1,4,3,4,4
"9",1,27,1,2,1,2,"PK",2,3,4,2,5,4,3,3,4,5,1,1,5,4,1,1,5,5,1,3,5,4,1,4,2,4,2,4,4,5,1,2,5,4,4,5,1,4,1,5,1,3,3,1,3,3,2,2,4,3
"10",4,21,2,1,1,1,"PK",5,1,4,3,4,2,2,1,5,3,2,4,4,3,2,2,2,2,3,3,4,3,4,5,2,4,2,4,4,4,4,3,2,2,3,2,2,3,3,4,3,2,4,2,4,1,5,2,4,4
"11",13,23,2,1,1,1,"PK",4,4,5,3,4,5,3,2,5,4,3,2,5,2,5,4,4,4,4,3,5,5,2,5,1,5,2,4,4,4,4,4,5,2,2,2,4,2,3,5,1,4,5,4,5,2,2,1,4,5
"12",4,21,2,1,1,2,"PK",5,2,5,1,3,2,3,1,5,4,1,4,4,3,1,2,2,1,1,3,1,4,1,4,1,4,2,5,5,4,5,1,5,1,4,1,5,3,5,4,4,1,1,2,4,5,5,2,4,5
"13",5,25,2,1,1,2,"PK",4,4,4,3,5,2,4,2,4,3,3,4,4,2,2,1,2,2,2,2,5,4,1,4,2,5,2,2,4,4,4,1,4,2,4,1,4,2,5,4,3,2,4,4,4,1,4,3,3,4
"14",11,29,2,1,1,1,"PK",3,3,2,4,4,4,3,3,4,4,3,3,5,3,4,5,5,5,5,5,1,4,1,5,1,5,2,2,5,4,2,2,4,4,2,5,4,4,2,2,4,4,5,4,5,5,2,2,5,5
"15",13,21,2,2,1,1,"PK",3,3,3,3,2,3,2,4,4,4,3,3,4,3,4,2,2,2,4,2,4,3,2,5,3,4,2,3,4,2,2,4,2,4,3,2,3,3,2,3,3,3,3,3,3,2,3,2,3,2
"16",13,22,2,1,1,1,"PK",3,2,4,4,3,4,1,5,4,4,4,4,4,2,4,5,5,4,5,4,3,4,1,4,2,4,3,3,4,4,2,3,2,3,2,4,4,3,3,4,1,5,2,4,2,4,3,2,4,2
"17",13,19,2,1,1,5,"PK",5,5,2,5,1,1,1,5,1,5,5,2,5,4,4,1,1,1,2,2,1,5,1,5,4,5,5,5,5,2,2,1,5,1,4,5,5,1,5,1,1,4,4,5,5,1,2,1,5,5
"18",11,19,2,1,1,1,"PK",4,1,5,3,5,1,5,5,5,1,1,5,4,3,1,1,5,5,1,3,5,5,1,3,1,5,1,5,3,5,3,3,5,3,3,1,1,3,3,3,5,1,5,1,5,1,5,5,3,5
"19",4,35,2,1,1,2,"PK",1,3,1,5,3,1,1,5,1,5,1,1,5,3,5,5,5,5,5,1,1,1,1,5,1,5,1,5,5,3,1,5,5,5,1,5,3,5,1,1,5,3,5,3,5,1,5,5,3,5
"20",11,20,2,2,2,2,"PK",3,1,2,2,3,2,3,3,4,3,3,3,3,2,2,3,4,4,2,3,5,4,3,5,1,5,2,3,5,3,4,1,5,3,3,3,3,4,2,2,3,3,3,3,5,2,3,3,3,5
"21",4,24,2,1,1,1,"PK",2,3,1,5,3,2,1,5,2,5,5,1,4,3,5,5,5,5,3,3,3,4,3,5,2,4,2,5,5,4,2,3,3,5,1,4,2,4,2,3,3,3,5,3,3,1,4,5,5,3
"22",5,36,2,2,1,1,"PK",5,5,5,2,4,3,3,4,1,4,2,5,5,3,2,3,3,1,2,3,1,4,1,5,1,5,1,4,5,5,4,3,4,2,3,1,5,3,5,5,5,2,3,2,5,1,5,2,5,5
"23",11,22,2,1,1,1,"PK",2,2,5,3,5,2,2,3,4,2,1,4,4,2,2,2,2,2,2,2,4,4,2,4,2,4,3,2,4,4,3,1,3,2,3,1,4,2,4,4,4,3,3,3,4,2,4,2,2,4
"24",5,22,2,2,1,1,"PK",3,3,3,5,1,2,2,1,3,3,3,3,3,5,3,2,5,2,1,3,3,3,1,5,1,5,5,5,5,2,3,3,3,1,3,1,1,3,5,4,3,1,5,1,5,5,3,5,5,5
"25",13,23,2,1,1,1,"PK",3,5,4,4,3,4,3,4,3,4,4,3,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,3,3,3,4,3,4,4,3,4,4,3,4,3,4,4,4,4
"26",13,30,2,1,2,1,"PK",4,5,5,1,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,1,5,5,1,5,5,5,1,5,5,5,5,1,5,1,5,5,1,5,5,5,1,5,5,5,1,5,1,1,5,1
"27",13,18,2,2,1,5,"PK",5,1,5,1,5,1,5,1,5,1,5,1,5,5,5,5,5,5,5,5,5,5,1,5,1,5,1,5,5,5,1,1,5,5,5,5,5,5,1,5,1,1,1,1,5,1,5,1,5,5
"28",13,21,2,2,1,5,"PK",4,1,5,5,5,1,5,1,5,2,4,5,4,4,4,2,2,1,4,2,1,5,1,5,1,5,1,3,5,5,4,5,3,2,5,1,5,1,5,4,3,1,5,3,5,1,5,1,5,4
"29",13,22,2,2,1,1,"PK",5,4,4,5,2,1,1,5,5,5,5,2,5,2,5,5,2,2,2,5,1,2,1,4,2,5,2,4,5,3,3,1,5,2,4,1,1,1,3,4,3,3,5,4,4,1,4,1,5,3
"30",13,19,2,1,1,1,"PK",4,3,5,2,5,2,5,3,4,1,5,3,4,2,1,1,5,5,1,1,4,3,1,4,2,4,1,4,5,4,3,2,5,2,4,4,4,2,4,3,4,2,2,5,3,1,5,4,2,4
"31",4,24,2,2,1,1,"PK",1,2,5,4,5,1,2,2,2,2,1,2,4,4,5,5,5,5,5,4,5,5,1,5,1,5,4,5,5,5,2,1,5,2,2,2,5,1,2,4,4,4,5,2,4,1,4,2,4,4
"32",13,17,2,2,1,1,"PK",1,4,1,3,1,1,1,1,5,4,5,5,5,5,5,5,5,5,1,5,5,5,1,5,1,5,1,5,5,5,4,1,4,3,4,1,4,1,4,5,4,3,1,1,4,1,4,4,5,4
"33",13,18,2,1,1,2,"PK",5,4,2,5,3,4,2,1,4,2,5,3,2,4,5,3,4,3,3,3,5,4,1,3,3,2,2,3,3,5,1,4,4,4,3,2,1,1,5,3,2,3,3,3,3,3,2,2,3,4
"34",11,16,2,1,1,5,"PK",2,4,4,5,3,4,3,5,5,5,4,4,5,3,5,2,4,5,2,3,5,5,1,4,1,5,1,4,4,3,4,4,4,4,4,4,5,3,4,4,3,1,5,1,5,1,5,2,4,5
"35",13,22,2,2,1,1,"PK",1,5,1,1,1,5,1,5,1,5,5,1,5,5,5,5,5,5,5,1,3,3,1,5,5,5,5,5,5,5,1,1,5,5,1,1,1,1,1,5,1,5,1,1,1,5,1,1,5,1
"36",13,23,2,1,1,1,"PK",5,1,5,4,5,1,5,3,4,1,5,4,4,3,3,2,4,4,1,4,4,5,1,5,3,5,2,4,4,5,4,4,5,1,3,3,3,3,4,4,3,2,4,3,4,1,4,3,4,4
"37",4,19,2,2,1,1,"PK",4,2,3,4,4,3,4,4,4,2,3,4,3,3,2,3,3,4,2,4,4,4,1,3,3,5,2,3,4,4,3,2,3,2,3,2,3,3,3,3,3,3,4,3,3,2,3,2,4,3
"38",11,24,2,1,1,1,"PK",3,4,2,2,3,3,2,4,3,5,3,3,4,3,2,3,3,3,3,3,2,4,1,4,2,3,2,4,4,4,3,2,5,2,3,2,2,2,3,4,3,1,4,2,4,2,5,2,3,4
"39",13,31,2,1,1,1,"PK",4,2,4,3,3,4,4,2,4,2,3,5,3,1,3,4,5,2,4,1,3,4,2,4,2,5,2,3,4,4,5,2,4,1,4,1,5,2,5,3,3,1,5,1,4,1,4,2,3,5
"40",4,25,2,1,1,1,"PK",3,3,3,5,3,4,1,3,1,5,4,3,1,3,3,5,2,4,4,3,1,4,1,5,1,5,2,5,5,5,1,5,1,3,3,5,5,3,1,4,3,3,3,1,5,1,3,3,3,5
"41",13,14,2,2,1,1,"PK",4,1,3,2,5,2,4,3,3,2,5,2,4,4,4,4,5,4,3,4,5,5,2,5,1,5,2,4,4,4,3,2,4,3,3,4,5,3,2,3,3,3,5,2,5,1,4,2,4,5
"42",4,50,2,1,1,5,"PK",3,4,4,3,3,3,4,3,4,3,4,4,4,3,2,3,2,1,2,3,1,4,2,4,2,4,2,3,5,5,4,3,5,2,3,2,4,2,4,5,3,2,4,3,4,1,5,1,5,4
"43",13,20,2,2,1,1,"PK",2,5,1,5,2,5,2,5,1,5,5,3,5,3,5,4,4,4,4,2,1,4,4,4,2,4,4,3,5,3,3,4,3,5,1,5,4,3,2,3,1,5,5,5,3,2,4,2,3,3
